name,address1,city,state,code,country,website,descript
Cervecera Centro Americana S.A.,"3ra.Av.Norte Final, Finca El Zapote, Zona 2",Guatemala City,,,Guatemala,,
Cervecera Cuauhtmoc-Moctezuma,Av.Alfonso Reyes Norte No.2202,Monterrey,Nuevo Leon,,Mexico,http://www.ccm.com.mx/,
Cervecera del Pacfico,Calz.Gabriel Leyva y Melchor Ocampo,Mazatln,Sinaloa,,Mexico,,
Cervecera Hondurea,Carretera a Puerto Corts,San Pedro Sula,,,Honduras,,
Cervecera Jerome,Mendoza,Mendoza,,,Argentina,,
Cervecera Nacional,Va Ricardo J. Alfaro y Transistmica,El Dorado,,,Panama,,
Cerveceria Bucanero,Circunvalacin Sur Km. 3 1/2,Holguin,,,Cuba,,
CervecerÃ­a La Constancia,,San Salvador,,,El Salvador,http://www.laconstancia.com/,
Cervejaria de Macau,"Unit 1-B, Blk. A, Edf. Ind. Fei Tong",Macao,,,Macao,,
Cervejaria Kaiser Brasil,"Avenida Tocantins, 199 / Caixa Postal 621",Ponta Grossa,Paran,,Brazil,,
Cervejaria Sudbrack,"Rua Bahia, 5181",Blumenau,Santa Catarina,,Brazil,http://www.eisenbahn.com.br/,
Cervezas Alhambra,"Avenida de Murcia, 1",Granada,,,Spain,,
Chama River Brewing,4939 Pan American Freeway NE,Albuquerque,New Mexico,87109,United States,,
Charles Wells Ltd.,Havelock Street,Bedford,Bedford,,United Kingdom,,
Charlie and Jake's Brewery and BBQ,6300 North Wickham Road #137,Melbourne,Florida,32940,United States,,
Chelsea Brewing Company,"Chelsea Piers, Pier 59",New York,New York,10011,United States,http://chelseabrewingco.com/,"Chelsea Brewing Company, rated the best brewery in New York, is a first class waterfront restaurant and the only micro-brewery in Manhattan located at pier 59.With over 15 years of experience, and 8 National Awards, we are proud to serve up to 27 natural hand-crafted ales and specialty beers using only the finest malts and hops from around the world. We offer beer tastings, brewery tours and group packages."
Cherryland Brewing,,Sturgeon Bay,Wisconsin,,United States,,
Cheshire Cat Brewery,7803 Ralston Road,Arvada,Colorado,80002,United States,,
Chicago Brewing,2201 South Fort Apache Road,Las Vegas,Nevada,89117,United States,,
Chimay (Abbaye Notre Dame de Scourmont),Route de Charlemagne 8,Chimay,,,Belgium,http://www.chimay.com,"Chimay is an authentic Trappist beer that is it is brewed within a Trappist monastery, under the control and responsibility of the monastic community. Only 6 beers in Belgium can carry the appellation Trappist: Chimay, Orval, Rochefort, Westmalle, Westvleteren and Achel."
Cigar City Brewing,3924 West Spruce Street Suite A,Tampa,Florida,33607,United States,http://cigarcitybeer.com/,
Circle V Brewing,,Indianapolis,Indiana,,United States,,
"City Brewing Company, LLC",925 South Third Street,La Crosse,Wisconsin,54601,United States,http://www.citybrewery.com/,"City Brewing Company is a premier, state-of-the-art beverage production and packaging company located in La Crosse, WI.  Our facility has been transformed from a historical brewery into a facility capable of manufacturing and packaging beers, teas, soft drinks, energy drinks and other new age beverages.  Our packaging capacity of over 50 million cases makes us one of the largest beverage producers in the country."
CJ's Brewery & Grill,,La Jolla,California,,United States,,
Cleveland ChopHouse and Brewery,824 West St.Clair Avenue,Cleveland,Ohio,44113,United States,,
Climax Brewing Copmany,112 Valley Road,Roselle Park,New Jersey,7204,United States,http://www.climaxbrewing.com/,
Clipper City Brewing Co.,4615-B Hollins Ferry Road,Baltimore,Maryland,21227,United States,http://www.ccbeer.com/,"At Clipper City our mission is to bring back the local brewery, and to do it in such a way that we are more than just a fringe player, but a positive part of our area. To accomplish this mission we have created a broad portfolio of products and brands with enough diversity that we have at least one beer that can appeal to everyone. Whether your preference is for a classic American style lager beer, or a big, challenging Hop Cubed Ale, we have a something that will suit your taste. Our goal is to brew beers for people who dare to walk up to the edge of the mountain and actually jump forward.  Our beers are for those who chart a bolder course.   Our brewery is named for the famed Clipper ship - first developed and built in our home port of Baltimore. The Clipper ship is the symbol for a strong nautical and maritime heritage with a commitment to craftsmanship of the highest caliber. It captures both the hardy nature of our working class history and the romance of what lies on the seas ahead. Why be normal when you can be EXTRAARGHdinary?  We believe in bringing beer drinkers the quality and flavor of a handcrafted beer while supporting the local communities we serve."
Clner Hofbrau Frh,Am Hof 12-14,Kln,Nordrhein-Westfalen,,Germany,,
Coach's Norman,102 West Main,Norman,Oklahoma,73069,United States,,
Coast Brewing,,Biloxi,Mississippi,,United States,,
Coast Range Brewing,7050 Monterey Street,Gilroy,California,95020,United States,,
Coastal Fog Brewing,,Concord,California,,United States,,
Coeur d'Alene Brewing Company,209 Lakeside Avenue,Coeur d'Alene,Idaho,83814,United States,http://www.cdabrewing.com/,
Cold Spring Brewing,219 Red River Avenue North,Cold Spring,Minnesota,56320,United States,http://www.coldspringbrewery.com/,"Cold Spring Brewery in Cold Spring is on the original Red River trail. Used by the pioneering trail blazers, trappers and settlers to replenish water supplies from the pure cold spring which the town is named today. The spring is one of the purest sources of water in North America.  The spring comes from an underground prehistoric glacial lake filtered through granite over hundreds of years. There are certain pure elements in the water that are absolutely perfect for brewing world class beers.  The brewery has been modernized and rebuilt over the past several years, and is now a state-of-the-art brewery and beverage product development and production facility."
Columbia Bay Brewery Restaurant and Pub,,Lake Villa,Illinois,,United States,,
Commonwealth Brewing #1,,Boston,Massachusetts,,United States,,
Coniston Brewing,Coppermines Road,Coniston,Cumbria,,United Kingdom,,
